institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source,completion_options,required_course_sets,required_course_set_count,prerequisite_groups
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Required Common Core,common_core,12,10,FMG-AS-MATH,Mathematical and Quantitative Reasoning requirement,3,,,FMG_AS_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Required Common Core,common_core,12,10,FMG-AS-LPS,Life and Physical Sciences requirement,3,,,RC_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Flexible Core,flexible_core,18,20,FMG-AS-CREATIVE2,Creative Expression requirement (second course),3,,,FMG_AS_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Flexible Core,flexible_core,18,20,FMG-AS-INDIVIDUAL,Individual and Society requirement,3,,,FMG_AS_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Flexible Core,flexible_core,18,20,FMG-AS-SCIENTIFIC,Scientific World requirement,3,,,FC_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Flexible Core,flexible_core,18,20,FMG-AS-US,U.S. Experience in Its Diversity requirement,3,,,FMG_AS_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Flexible Core,flexible_core,18,20,FMG-AS-WORLD,World Cultures and Global Issues requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Curriculum Requirements,program_required,25,30,ACC 122,Accounting Principles I,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Curriculum Requirements,program_required,25,30,BUS 104,Introduction to Business,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Curriculum Requirements,program_required,25,30,BUS 110,Business Law,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Curriculum Requirements,program_required,25,30,FNB 100,Introduction to Finance,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Curriculum Requirements,program_required,25,30,FNB 230,Financial Management,3,FNB 100|ACC 122,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Curriculum Requirements,program_required,25,30,FNB 250,Money & Banking (Same as ECO 250),3,FNB 100 or ECO 100 or ECO 201 or ECO 202,ECO 250,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Curriculum Requirements,program_required,25,30,FNB 300,Investments,3,FNB 100|ACC 122,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,Curriculum Requirements,program_required,25,30,MAT 301,Analytic Geometry and Calculus I,4,MAT 206 or MAT 206.5,,,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
BMCC,Business Management,BUS,FMG_AS,Financial Management,AS,2025-2026,General Elective,program_elective,5,40,FMG-AS-GENERAL,General Elective or Common Core STEM excess credits,5,,,FMG_AS_GENERAL_ELECTIVE,https://www.bmcc.cuny.edu/academics/departments/business-management/financial-management/
