institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source,completion_options,required_course_sets,required_course_set_count,prerequisite_groups
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Required Common Core,common_core,12,10,BBA-AS-MATH,Mathematical and Quantitative Reasoning requirement,3,,,BBA_AS_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Required Common Core,common_core,12,10,BBA-AS-LPS,Life and Physical Sciences requirement,3,,,BBA_AS_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 102,Fundamentals of Public Speaking for Non-Native Speakers,3,,SPE 100,,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,BBA-AS-CREATIVE2,Creative Expression requirement (second course),3,,,BBA_AS_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,BBA-AS-INDIVIDUAL,Individual and Society requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,BBA-AS-SCIENTIFIC,Scientific World requirement,3,,,BBA_AS_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,BBA-AS-US,U.S. Experience in Its Diversity requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
BMCC,Business Management,BUS,BBA_AS,Business Administration,AS,2025-2026,Flexible Core,flexible_core,18,20,BBA-AS-WORLD,World Cultures and Global Issues requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/business-management/business-administration/
