institution_code,course_code,title,credits,source
BMCC,MAT 157,College Algebra with Trigonometry,4,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
BMCC,MAT 157.5,Elementary and College Algebra with Trigonometry,4,https://www.bmcc.cuny.edu/academics/departments/math/course-listings/
